Id,Year,Total,White,Black or African American,Hispanic,Asian
1500000US220710017243,2000,3313,488,2757,55,16
1500000US220710017251,2000,2075,470,1518,58,14
1500000US220710017252,2000,1744,277,1449,30,0
1500000US220710017253,2000,1978,175,1718,14,4
1500000US220710017254,2000,1976,290,1620,33,26
1500000US220710017261,2000,74,29,44,0,0
1500000US220710017281,2000,681,66,553,10,44
1500000US220710017282,2000,4501,167,4231,49,17
1500000US220710017283,2000,3087,265,2717,47,40
1500000US220710017301,2000,2213,132,1858,64,163
1500000US220710017321,2000,1356,250,1059,20,21
1500000US220710017322,2000,1383,310,1049,7,14
1500000US220710017323,2000,798,203,544,11,35
1500000US220710017324,2000,1179,260,755,28,144
1500000US220710017325,2000,3524,384,2668,47,352
1500000US220710017332,2000,1883,294,1456,82,63
1500000US220710017341,2000,1760,1676,36,18,38
1500000US220710017351,2000,2758,28,2688,35,14
1500000US220710017352,2000,2580,80,2445,39,6
1500000US220710017361,2000,1838,23,1784,29,3
1500000US220710017362,2000,2420,73,2315,17,16
1500000US220710017371,2000,973,287,673,8,3
1500000US220710017372,2000,767,230,518,16,7
1500000US220710017373,2000,2359,81,2212,36,2
1500000US220710017381,2000,6227,208,5910,90,25
1500000US220710017382,2000,3704,378,3226,41,27
1500000US220710017391,2000,1556,75,1412,16,36
1500000US220710017392,2000,1676,83,1564,33,7
1500000US220710017401,2000,3221,140,2894,118,97
1500000US220710017402,2000,2070,75,1935,17,33
1500000US220710017411,2000,1711,139,1103,35,419
1500000US220710017421,2000,2728,55,1211,153,1365
1500000US220710017422,2000,6260,178,3136,52,2855
1500000US220710018001,2000,841,563,194,76,11
1500000US220710018002,2000,678,573,73,31,4
1500000US220710019001,2000,886,55,807,26,3
1500000US220710019002,2000,789,113,635,65,6
1500000US220710019003,2000,849,75,753,69,0
1500000US220710020001,2000,898,44,837,13,5
1500000US220710020002,2000,708,24,677,16,0
1500000US220710020003,2000,549,13,520,16,5
1500000US220710021001,2000,718,15,693,14,0
1500000US220710021002,2000,804,10,781,12,0
1500000US220710022001,2000,675,24,640,16,3
1500000US220710022002,2000,717,25,680,14,0
1500000US220710022003,2000,657,11,636,1,0
1500000US220710023001,2000,613,19,561,49,0
1500000US220710023002,2000,572,26,535,7,0
1500000US220710023003,2000,635,17,609,10,1
1500000US220710023004,2000,554,22,519,20,0
1500000US220710023005,2000,1351,95,1214,35,1
1500000US220710024011,2000,1245,209,1006,27,4
1500000US220710024012,2000,930,139,778,19,5
1500000US220710024021,2000,630,114,503,30,4
1500000US220710024022,2000,1195,178,971,33,7
1500000US220710024023,2000,908,163,727,12,0
1500000US220710024024,2000,974,164,788,26,3
1500000US220710025011,2000,667,229,406,33,7
1500000US220710025012,2000,650,204,415,45,7
1500000US220710025013,2000,607,177,414,36,2
1500000US220710025014,2000,617,204,393,44,1
1500000US220710025021,2000,1014,69,898,30,2
1500000US220710025022,2000,859,149,674,31,15
1500000US220710025023,2000,726,39,658,14,3
1500000US220710025024,2000,500,60,431,6,0
1500000US220710025031,2000,643,215,409,34,2
1500000US220710025032,2000,742,349,363,46,2
1500000US220710025033,2000,650,343,277,8,3
1500000US220710025041,2000,621,157,441,15,1
1500000US220710025042,2000,725,293,391,26,13
1500000US220710025043,2000,638,285,311,17,8
